질문,정답,설명,태그,유형
"자료 13, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 13: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
"14번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 14: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,빈칸
15번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 15: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
16번: 핵심 개념의 정의를 한 문장으로 설명하세요.,16번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 16: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,문답
17번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 17: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,빈칸
"자료 18, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 18: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,문답
"19번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 19: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,빈칸
20번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 20: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
21번: 핵심 개념의 정의를 한 문장으로 설명하세요.,21번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 21: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
22번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,"해설 22: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",한국사 근현대,빈칸
"자료 23, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 23: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
"24번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 24: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,빈칸
25번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 25: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,문답
26번: 핵심 개념의 정의를 한 문장으로 설명하세요.,26번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 26: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,문답
27번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 27: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,빈칸
"자료 28, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 28: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
"29번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 29: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,빈칸
30번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 30: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,문답
31번: 핵심 개념의 정의를 한 문장으로 설명하세요.,31번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 31: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
32번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 32: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,빈칸
"자료 33, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.","해설 33: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",국어 문학,문답
"34번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 34: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,빈칸
35번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 35: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,문답
36번: 핵심 개념의 정의를 한 문장으로 설명하세요.,36번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 36: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
37번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 37: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,빈칸
"자료 38, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 38: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,문답
"39번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 39: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,빈칸
40번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 40: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,문답
41번: 핵심 개념의 정의를 한 문장으로 설명하세요.,41번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 41: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,문답
42번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 42: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,빈칸
"자료 43, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 43: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,문답
"44번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,"해설 44: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",과학 물리,빈칸
45번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 45: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
46번: 핵심 개념의 정의를 한 문장으로 설명하세요.,46번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 46: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,문답
47번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 47: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,빈칸
"자료 48, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 48: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,문답
"49번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 49: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,빈칸
50번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 50: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,문답
51번: 핵심 개념의 정의를 한 문장으로 설명하세요.,51번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 51: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,문답
52번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 52: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,빈칸
"자료 53, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 53: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
"54번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 54: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,빈칸
55번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.","해설 55: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",정보 알고리즘,문답
56번: 핵심 개념의 정의를 한 문장으로 설명하세요.,56번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 56: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,문답
57번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 57: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,빈칸
"자료 58, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 58: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,문답
"59번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 59: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,빈칸
60번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 60: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
61번: 핵심 개념의 정의를 한 문장으로 설명하세요.,61번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 61: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
62번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 62: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,빈칸
"자료 63, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 63: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
"64번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 64: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,빈칸
65번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 65: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,문답
66번: 핵심 개념의 정의를 한 문장으로 설명하세요.,66번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,"해설 66: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",수학 함수,문답
67번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 67: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,빈칸
"자료 68, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 68: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
"69번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 69: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,빈칸
70번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 70: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,문답
71번: 핵심 개념의 정의를 한 문장으로 설명하세요.,71번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 71: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
72번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 72: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,빈칸
"자료 73, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 73: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,문답
"74번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 74: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,빈칸
75번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 75: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,문답
76번: 핵심 개념의 정의를 한 문장으로 설명하세요.,76번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 76: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
77번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,"해설 77: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",사회 경제,빈칸
"자료 78, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 78: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,문답
"79번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 79: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,빈칸
80번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 80: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,문답
81번: 핵심 개념의 정의를 한 문장으로 설명하세요.,81번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 81: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,문답
82번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 82: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,빈칸
"자료 83, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 83: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,문답
"84번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 84: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,빈칸
85번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 85: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
86번: 핵심 개념의 정의를 한 문장으로 설명하세요.,86번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 86: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,문답
87번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 87: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,빈칸
"자료 88, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.","해설 88: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",통합교과 서술형,문답
"89번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 89: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,빈칸
90번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 90: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,문답
91번: 핵심 개념의 정의를 한 문장으로 설명하세요.,91번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 91: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,문답
92번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 92: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,빈칸
"자료 93, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 93: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
"94번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 94: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,빈칸
95번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 95: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
96번: 핵심 개념의 정의를 한 문장으로 설명하세요.,96번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 96: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,문답
97번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 97: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,빈칸
"자료 98, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 98: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,문답
"99번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,"해설 99: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",과학 생명,빈칸
100번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 100: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
101번: 핵심 개념의 정의를 한 문장으로 설명하세요.,101번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 101: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,문답
102번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 102: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,빈칸
"자료 103, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 103: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
"104번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 104: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,빈칸
105번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 105: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,문답
106번: 핵심 개념의 정의를 한 문장으로 설명하세요.,106번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 106: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,문답
107번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 107: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,빈칸
"자료 108, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 108: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
"109번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 109: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,빈칸
