번호,시작,종료,제목,분류,유적지,유적지 주소,설명,색상,이미지 파일,이미지 출처,출처 URL,라이선스
65,1896-02-11,,아관파천,근대,구 러시아공사관 터,서울특별시 중구 정동길 21-18,고종이 러시아 공사관으로 거처를 옮긴 사건.,amber,,,,
66,1897-10-12,,대한제국 선포,근대,환구단,서울특별시 중구 소공로 112,고종이 황제로 즉위하고 대한제국을 선포함.,slate,066_대한제국시기_독립문.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Independence_Gate_Seoul_Korea_1955.jpg,CC BY-SA 4.0
67,1905-11-17,,을사늑약,일제강점기,덕수궁 중명전,서울특별시 중구 정동길 41-11,일본이 대한제국의 외교권을 박탈하고 통감부를 설치하는 계기가 됨.,slate,,,,
68,1907-07,,고종 강제 퇴위와 군대 해산,일제강점기,,,헤이그 특사 사건 이후 고종이 강제로 퇴위하고 대한제국 군대가 해산됨.,purple,,,,
69,1909-10-26,,안중근 의거,독립운동,안중근의사기념관,서울특별시 중구 소월로 91,안중근이 하얼빈역에서 이토 히로부미를 저격함.,green,069_안중근의거_안중근.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:An_Jung-geun.JPG,Public domain
70,1910-08-29,,국권 피탈,일제강점기,,,한일병합조약이 공포되어 대한제국의 국권이 일본에 강제로 빼앗김.,blue,,,,
71,1919-03-01,,3·1 운동,독립운동,탑골공원,서울특별시 종로구 종로 99,독립선언을 계기로 전국에서 대규모 만세 운동이 전개됨.,purple,071_3·1운동_탑골공원_기념부조.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:March_1st_movement.jpg,CC BY-SA 3.0 / GFDL
72,1919-04-11,,대한민국 임시정부 수립,독립운동,대한민국임시정부기념관,서울특별시 서대문구 통일로 279-24,상하이에서 대한민국 임시정부가 수립되어 독립운동의 구심점 역할을 함.,purple,072_대한민국임시정부.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Provisional_Government_of_the_Republic_of_Korea.jpg,Public domain / historical image
73,1920-06-07,,봉오동 전투,독립운동,,,홍범도 등이 이끈 독립군이 봉오동에서 일본군을 격파함.,red,,,,
74,1920-10,,청산리 대첩,독립운동,,,김좌진과 홍범도 등이 이끈 독립군이 청산리 일대에서 일본군에 큰 타격을 줌.,purple,074_청산리대첩.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Battle_of_Qingshanli.JPG,Public domain
75,1929-11-03,,광주학생항일운동,독립운동,광주학생독립운동기념회관,광주광역시 서구 학생독립로 30,광주에서 시작된 학생 항일운동이 전국으로 확산됨.,amber,075_광주학생항일운동.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mayroad_GwangjuStudentIndependenceMovement.png,CC BY-SA 4.0
76,1932-04-29,,윤봉길 의거,독립운동,매헌윤봉길의사기념관,서울특별시 서초구 매헌로 99,윤봉길이 상하이 훙커우공원에서 폭탄을 투척해 일본군 수뇌부에 타격을 줌.,red,076_윤봉길의거.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:사진1(윤봉길_선서장면).jpg,CC BY-SA 4.0 / PD-South Korea
77,1940-09-17,,한국광복군 창설,독립운동,대한민국임시정부기념관,서울특별시 서대문구 통일로 279-24,대한민국 임시정부가 충칭에서 한국광복군을 창설함.,green,077_한국광복군창설.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Korean_Liberation_Army.JPG,Public domain
78,1945-08-15,,광복,현대,,,일본의 패전으로 식민 지배에서 벗어나 광복을 맞음.,slate,,,,
79,1948-07-17,,대한민국 헌법 공포,현대,국회의사당,서울특별시 영등포구 의사당대로 1,대한민국 제헌 헌법이 공포되어 국가의 기본 질서와 정부 구조가 마련됨.,purple,,,,
80,1948-08-15,,대한민국 정부 수립,현대,,,대한민국 정부가 공식 출범함.,slate,,,,
81,1950-06-25,1953-07-27,6·25 전쟁,전쟁,전쟁기념관,서울특별시 용산구 이태원로 29,북한의 남침으로 전쟁이 발발해 1953년 정전협정까지 이어짐.,blue,,,,
82,1953-07-27,,정전협정 체결,현대,판문점,,한국전쟁 정전협정이 체결되어 군사적 충돌이 중지되고 군사분계선이 설정됨.,slate,,,,
83,1960-04-19,,4·19 혁명,민주화,국립4·19민주묘지,서울특별시 강북구 4.19로8길 17,부정선거에 항의한 시민과 학생의 민주화 운동으로 이승만 정부가 퇴진함.,purple,083_4·19혁명.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Kankoku-Tokuhon-2.jpg,Public domain (Japan)
84,1961-05-16,,5·16 군사정변,현대,,,박정희를 중심으로 한 군부 세력이 정변을 일으켜 정권을 장악함.,amber,,,,
85,1965-06-22,,한일기본조약 체결,현대,,,대한민국과 일본이 국교를 정상화함.,amber,,,,
86,1970-07-07,,경부고속도로 전 구간 개통,경제,,,서울과 부산을 잇는 경부고속도로가 전 구간 개통되어 산업화와 물류 변화에 큰 영향을 줌.,green,,,,
87,1972-10-17,,10월 유신,현대,,,비상조치와 헌법 개정으로 유신체제가 시작됨.,amber,,,,
88,1979-10-26,,10·26 사건,현대,,,박정희 대통령이 중앙정보부장 김재규에게 피살됨.,purple,,,,
89,1979-12-12,,12·12 군사반란,현대,,,신군부 세력이 군 지휘권을 장악한 사건.,purple,,,,
90,1980-05-18,1980-05-27,5·18 민주화운동,민주화,국립5·18민주묘지,광주광역시 북구 민주로 200,광주 시민들이 비상계엄 확대와 군부 통치에 맞서 민주화를 요구함.,purple,,,,
91,1987-06-10,1987-06-29,6월 민주항쟁,민주화,서울광장,서울특별시 중구 세종대로 110,전국적인 민주화 시위로 대통령 직선제 개헌을 이끌어냄.,slate,091_6월민주항쟁.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:6월_민주_항쟁_보행로_독재_규탄_문구.jpg,KOGL Type 1
92,1988-09-17,1988-10-02,서울 올림픽,문화·스포츠,서울올림픽주경기장,서울특별시 송파구 올림픽로 25,대한민국에서 최초로 하계 올림픽이 개최됨.,slate,092_서울올림픽_잠실경기장.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Toward_Seoul_Olympic_Stadium.jpg,CC BY-SA 3.0 / GFDL
93,1997-12,2001-08,외환위기와 IMF 구제금융,경제,,,외환 유동성 위기로 국제통화기금의 구제금융을 받고 대규모 구조조정이 진행됨.,amber,,,,
94,2000-06-13,2000-06-15,제1차 남북정상회담,남북관계,,,평양에서 첫 남북정상회담이 열리고 6·15 남북공동선언이 발표됨.,red,,,,
95,2002-06,2002-06,한일 월드컵과 4강 진출,문화·스포츠,서울월드컵경기장,서울특별시 마포구 월드컵로 240,대한민국과 일본이 월드컵을 공동 개최했고 한국 대표팀이 4강에 진출함.,red,,,,
96,2004-04-01,,KTX 개통,경제,서울역,서울특별시 용산구 한강대로 405,경부선과 호남선을 중심으로 고속철도 KTX 운행이 시작됨.,purple,,,,
97,2007-10-02,2007-10-04,제2차 남북정상회담,남북관계,,,평양에서 두 번째 남북정상회담이 열리고 10·4 선언이 발표됨.,slate,,,,
98,2016-10,2017-03,촛불집회와 대통령 탄핵,민주화,광화문광장,서울특별시 종로구 세종대로 172,대규모 촛불집회가 이어졌고 헌법재판소가 대통령 탄핵을 인용함.,green,,,,
99,2018-04-27,,판문점 남북정상회담,남북관계,판문점,,남북 정상이 판문점에서 만나 판문점 선언을 발표함.,slate,,,,
100,2020-01,2023-05,코로나19 대유행 대응,현대,,,코로나19 확산으로 방역과 사회적 거리두기 등 대규모 공중보건 대응이 이어짐.,green,,,,
